,From,To,Time (min)
2989,Hubbardston,Elysburg,459
2990,Leominster,Mays,839
2991,Littleton,Bradenton Beach,412
2992,Pingryville,Villa Del Pilar,573
2993,Lunenburg,Edmond,294
2994,East Pepperell,Crawford,389
2995,E Pepperell,Edgeworth,882
2996,Pepperell,Hyde Park,526
2997,Shirley Ctr,Charlson,242
2998,Shirley Center,Bruce,695
2999,Shirley,Dugginsville,81
3000,Still River,Salkehatchie,674
3001,Templeton,Greenfield Twp,165
3002,Townsend,Somerset,544
3003,New England Business Brm,E Millsboro,202
3004,New England Business Svc Inc,Enterprise,500
3005,W Groton,Waterford Works,655
3006,West Groton,Lebanon,22
3007,Townsend,Saltillo,878
3008,W Townsend,Copper Harbor,321
3009,West Townsend,Terril,519
3010,Winchendon,Formoso,495
3011,Winchendon Springs,Girard,531
3012,Winchdon Spgs,Sevierville,530
3013,Auburn,Mathis,535
3014,Berlin,Saugus,448
3015,Blackstone,New Fairfield,212
3016,E Blackstone,Dalton Gardens,603
3017,East Blackstone,East Canton,219
3018,Millerville,Springport,609
3019,Morningdale,Clarksville,44
3020,Boylston,Lobata,419
3021,Brookfield,Bernharts,147
3022,Charlton,Washingtonville,392
3023,Charlton City,Stockton,146
3024,Richardson Corners,Laporte,206
3025,Charlton Dpt,North Vernon,864
3026,Charlton Dept,First Tenn National Bank,133
3027,Charlton Depot,Lidderdale,540
3028,Clinton,Layfield,362
3029,East Brookfield,Oakfield,452
3030,E Brookfield,Freedom,981
3031,East Douglas,Dawmont,258
3032,Douglas,Sonora,113
3033,E Princeton,Sunset Acres,196
3034,East Princeton,Eastfork,34
3035,Sturbridge,Au Gres,768
3036,Fiskdale,Lyc Co Airprt,938
3037,Grafton,Orange Village,685
3038,Hassanamisco Indian Reservat,Engleside,32
3039,Holden,Yocana,460
3040,Holland,Blue Ridge Sm,142
3041,Halland,Conehatta,77
3042,Fiskdale,Lake Nacimiento,710
3043,Jefferson,Diana,133
3044,North Lancaster,Iberville,815
3045,Lancaster,Sperry,97
3046,Leicester,Magnetic Spring,679
3047,Linwood,Sissonville,286
3048,Manchaug,Ortonville,260
3049,Millbury,Wittenberg,966
3050,East Millbury,Zion City,472
3051,Millville,Genevia,237
3052,New Braintree,Fairfield,389
3053,Northboro,Longacre,255
3054,Northborough,Waitsfield,89
3055,Northbridge,Ranches Of Taos,677
3056,Rockdale,Westphalia,748
3057,N Brookfield,Wellington,527
3058,North Brookfield,Saint Michael,845
3059,N Grafton,Attila,745
3060,No Grafton,Crystal Spg,605
3061,North Grafton,Bearden,812
3062,North Oxford,Sligo,429
3063,N Uxbridge,Bowerston,202
3064,North Uxbridge,Bel Nor,20
3065,Oxford,Ash Grove,56
3066,Princeton,Hightstown,345
3067,Rochdale,Lockbourne,852
3068,Rutland,W Field,889
3069,Edgemere,Cuba,660
3070,Shrewsbury,Sanctuary,211
3071,Central Mass P & D Ctr,Hornbrook,190
3072,Southbridge,Franklin,519
3073,Sandersdale,Summerville,422
3074,Globe Village,Dickey,467
3075,South Grafton,Pineville,352
3076,Saundersville,T Ville,390
3077,South Lancaster,Lake Wylie,52
3078,S Lancaster,Liggett,10
3079,So Lancaster,National Grid Co,269
3080,Lambs Grove,Branch Bank And Trust (Bb&t),721
3081,Spencer,Plum Tree,494
3082,Sterling,Milo,594
3083,Sterling Junction,Williamstown,641
3084,Sturbridge,Huntland,757
3085,West Upton,Lwrnce,238
3086,W Upton,Stoneboro,830
3087,Upton,Guttenberg,132
3088,Uxbridge,P Hill,35
3089,Dudley Hill,Shivers,579
3090,Webster,Tilton,577
3091,Dudley,Greenville,531
3092,Westborough,Dellwood,48
3093,Westboro,Cumby,58
3094,Emc,URB Berwind Est,184
3095,National Grid Co,Sand Draw,45
3096,West Boylston,Endeavor,409
3097,Oakdale,Cumberland Furnace,67
3098,Westboylston,Point O Woods,835
3099,W Brookfield,Ferndale,311
3100,Westbrookfield,Harlowton,13
3101,West Brookfield,Glade Park,667
3102,West Millbury,Waughtown,993
3103,Millbury,La Grange,664
3104,Whitinsville,Terrace,416
3105,Sutton,Danboro,939
3106,Wilkinsonville,Dept Labor Stats,45
3107,Wilkinsonvile,West Pike,218
3108,Worcester,Joppa,868
3109,West Side,San Juan,865
3110,Webster Square,Purdys Mills,715
3111,Greendale,West Newbury,402
3112,Cherry Valley,Sachse,42
3113,Worcester,Wood,207
3114,Paxton,Atwood,654
3115,Allmerica,Lakewood,436
3116,Verizon,Wildwood Lake,449
3117,Framingham So,Aurora,50
3118,Framingham Center,W Henrietta,685
3119,Framingham,Stark Terrace,205
3120,Saxonville,Desmet,997
3121,Vlg Nagog Wds,Fairview Park,91
3122,Village Of Nagog Woods,Caledonia,572
3123,Acton,Peach Springs,912
3124,Vlg Of Nagog Woods,South San Pedro,538
3125,Acton,Orkney Sprngs,763
3126,Boxboro,Snowville,574
3127,Boxborough,Battens Crossroads,767
3128,W Acton,Beloit,749
3129,Acton,Villa Auxerre,909
3130,West Acton,Clinton,917
3131,Ashland,Mount Hermon,61
3132,Bedford,Bressler,549
3133,Bedford,South Schodack,217
3134,Hanscom AFB,Ext Lagos De Plata,399
3135,Bolton,Leesburg,211
3136,Carlisle,Three Oaks,383
3137,West Concord,Cromwell,337
3138,Concord,Wittell,544
3139,W Concord,Harmony,99
3140,Fayville,Silver Lake,488
3141,Southborough,Exeter,620
3142,Southboro,Bart,507
3143,Holliston,Gravel Siding,603
3144,Hopedale,West Acres,303
3145,Hopkinton,Dwyer,552
3146,Hudson,Kearns,302
3147,Marlboro,Richlandtown,377
3148,Marlborough,Sammons Point,441
3149,Maynard,Repto Universitario,414
3150,Mendon,Farmington Hills,486
3151,Milford,Auburn,305
3152,North Natick,Garceno,458
3153,No Natick,Abbott,519
3154,Natick,Clifton Spgs,51
3155,South Natick,Hampton,980
3156,So Natick,Bloomville,631
3157,N Natick,Butler,798
3158,S Natick,Joffre,8
3159,Sherborn,Delphi,604
3160,Southboro,Boekerton,453
3161,Southborough,Strathmore,975
3162,Lincoln,Green Mountain Falls,618
3163,Lincoln Center,Whitehead,843
3164,Stow,Univ Nv Reno,242
3165,N Sudbury,Fort Pillow,814
3166,Sudbury,Williams Township,399
3167,North Sudbury,Collinsville,76
3168,Wayland,Marblemount,917
3169,Cochituate,Wilmot Twp,959
3170,Woodville,Salmon Creek,305
3171,Woburn,Indian Trl,121
3172,Burlington,Santo,872
3173,Lahey Clinic Med Ctr,Cottonwood Point,528
3174,National Grid,URB Primavera,92
3175,Andover,Round Mtn,875
3176,Internal Revenue Service,Potash Bay,160
3177,Mellon Financial Services,Abbott,478
3178,Bank Of America,Cleveland,452
3179,Billerica,Ryegate,662
3180,Chelmsford,Ancram,192
3181,Kates Corner,Howellville,918
3182,S Chelmsford,Defense Intelligence,660
3183,Dracut,Hurley,961
3184,Dunstable,May Valley,266
3185,Haverhill,Garysburg,321
3186,Georgetown,Elevon,413
3187,Haverhill,Buda,175
3188,Groveland,Venetian Shores,667
3189,Bradford,San Diego,229
3190,Ward Hill,Thompson Place,801
3191,Lawrence,Scottsville,189
3192,S Lawrence,Valley Center,847
3193,South Lawrence,Spfld (Long),279
3194,Methuen,South Plainfield,622
3195,North Andover,St Clair Township,609
3196,N Andover,Brem,44
3197,Lowell,Morral,194
3198,Merrimac,South Chaplin,687
3199,N Billerica,Shamokin,220
3200,North Billerica,Newton,524
3201,N Chelmsford,Blade,273
3202,North Chelmsford,Lyford,236
3203,N Reading,Wrenshall,255
3204,North Reading,Tiona,289
3205,Nutting Lake,Columbus,855
3206,Nuttings Lake,Cambridge,695
3207,Pinehurst,Middlesex,83
3208,Reading,Plano,420
3209,Tewksbury,Sunland,718
3210,Tyngsboro,Nassau,237
3211,Tyngsborough,Fort Monroe,517
3212,Wakefield,Denver,72
3213,West Boxford,Duncanville,761
3214,Forge Village,Fosterville,756
3215,Nabnasset,Shives,300
3216,Westford,Walt Disney Co,515
3217,Wilmington,Magnet,597
3218,Massachusetts District,Campbells Island,987
3219,Winchester,Monroe City,993
3220,Bar Coded Irs,Pavillion,117
3221,Lynn,Dorena,261
3222,East Lynn,Panacea,521
3223,West Lynn,Brookfield,217
3224,Saugus,Barry,88
3225,Swampscott,Crossingville,18
3226,Nahant,Black,127
3227,General Elec Co,Vincent,599
3228,Amesbury,Dalby Springs,559
3229,Beverly,Ft Necessity,119
3230,Beverly Farms,Westchester,338
3231,Boxford,W Fulton,294
3232,Newbury,Fairbanks,469
3233,Byfield,Ebeemee Twp,599
3234,Danvers,Clough Corners,151
3235,Essex,West Woods,805
3236,Gloucester,Alpha,977
3237,Magnolia,Sherard,952
3238,Hamilton,Wright,265
3239,Hathorne,New Clarkson,934
3240,Ipswich,Moss Bluff,573
3241,South Lynnfield,Big Island,471
3242,Lynnfield,Snowline Camp,588
3243,Manchester By The Sea,Republic,353
3244,Manchester,Santa Rita Pk,368
3245,Marblehead,Cemar Estates,448
3246,Mhead,Windemere Lake,87
3247,Middleton,Newton,754
3248,Plum Island,Blanche,113
3249,Newburyport,Maurine,778
3250,Plum Island,Missouri S & T,36
3251,Newbury,Cherryplain,855
3252,Newburyport,Riverwood,906
3253,Salisbury Bch,Kraemer,97
3254,Salisbury,Floral Park,98
3255,Salisbury Beach,Shallmar,645
3256,West Peabody,E Quogue,502
3257,Peabody,Albemarle,110
3258,Prides Crssng,West Chenango,775
3259,Prides Crossing,Shiloh,476
3260,Rockport,White Apple,61
3261,Pigeon Cove,Beaumont,237
3262,Rowley,Slatyfork,185
3263,Salem,Fairhope,247
3264,S Hamilton,Unionville,634
3265,South Hamilton,Maize,954
3266,Topsfield,Stoneville,439
3267,Wenham,Dept Ag Ofc Outside Hq,433
3268,West Newbury,Lincoln,669
3269,Accord,Riverdale Pk,653
3270,Hingham,Dagsboro,863
3271,Bellingham,Security Benefit Life,36
3272,Brant Rock,Fernandina,446
3273,Canton,West Bend,10
3274,Cohasset,URB Santa Elena,211
3275,Dedham,Capitol,485
3276,Dover,Colonial Hgts,30
3277,E Walpole,Minot Air Force Base,521
3278,East Walpole,Dover AFB,541
3279,Foxborough,Montverde,854
3280,Foxboro,N Belle Vernon,59
3281,Franklin,Houston Heights,839
3282,Scituate,Auburn,990
3283,Greenbush,Stockbridge,878
3284,Green Harbor,Independence,707
3285,Hingham,Garden City,429
3286,Shared Firm Zip Code,Hillsdale,757
3287,Nantasket Beach,Cartwright,516
3288,Hull,Hillcrest Hts,790
3289,Humarock,Honeoye Falls,637
3290,Mansfield,Richfield,682
3291,Marshfield,Dusty Bend,551
3292,Marshfld Hls,Norbourne Estates,863
3293,Marshfield Hills,Wells Fargo Bank,637
3294,Medfield,Grace Chapel,377
3295,Medway,Lackawaxen,791
3296,Millis,South Amana,597
3297,Minot,Granville,670
3298,Scituate,Fort Peck,106
3299,Norfolk,Longport,437
3300,N Marshfield,Mc Cracken,417
3301,North Marshfield,Bucks Bridge,558
3302,Scituate,Walnut Hill,240
3303,N Scituate,Hagerstown,528
3304,North Scituate,Napoleonville,572
3305,Norwell,Rushford Vlg,878
3306,Norwood,Babb,586
3307,Ocean Bluff,Morongo Vly,914
3308,Marshfield,Haddon Hgts,345
3309,Scituate,Rolling Mdws,879
3310,Scituate Center,Glen Forney,714
3311,Scituate Harbor,Wilmot Flat,848
3312,Sharon,Clarksburg,597
3313,Sheldonville,Medimont,431
3314,South Walpole,Dodge City,108
3315,S Walpole,Reisterstown,101
3316,Stoughton,Cooktown,227
3317,Walpole,Eddington,607
3318,Islington,Bedford Hts,264
3319,Westwood,Malmo,842
3320,Wrentham,Sodus,298
3321,Boston,Reserve,632
3322,Roxbury,Looneyville,342
3323,Roxbury,Hon,5
3324,Boston,Blackhawk,446
3325,Roxbury Crossing,Spring Lake,1000
3326,Roxbury,Pringle,820
3327,Mission Hill,Christiansbrg,148
3328,Roxbury Xing,Coffman Cove,122
3329,Boston,Arab,656
3330,Grove Hall,Berlin,998
3331,Dorchester,Ozawkie,860
3332,Boston,Manhattan Beach,758
3333,Boston,Lake Wissota,266
3334,Dorchester,Salt Lake County Complex,834
3335,Dorchestr Ctr,Parshall,505
3336,Dorchester Center,Bowery Haven,575
3337,Uphams Corner,Camp Beauregard,101
3338,Boston,Edgeworth,599
3339,Hyde Park,Isabel,401
3340,Mattapan,Colcord,879
3341,South Boston,Isle Of Palms,66
3342,S Boston,Stockbridge,268
3343,East Boston,Washburn,505
3344,E Boston,Almond,352
3345,Charlestown,Palm Bay,105
3346,Boston,Good Hart,57
3347,Jamaica Plain,Fulton Beach,804
3348,Boston,Fulgham,82
3349,Roslindale,W Colls Hgts,187
3350,Boston,Norwalk,554
3351,Boston,Chalfant,534
3352,W Roxbury,Bo Montellano,378
3353,West Roxbury,Sterling,219
3354,Allston,Allied Group,155
3355,Boston,Ames,66
3356,Brighton,Waupaca,233
3357,Boston,Brownsburg,371
3358,Hyde Park,Federal Trade Comm,745
3359,Readville,Baltic,503
3360,Boston,Haslam,568
3361,Hyde Park,Rich Square,97
3362,Boston,Barnwell,178
3363,Readville,Cobalt,722
3364,Cambridge,Rockfield,278
3365,Cambridgeport,Ewell,928
3366,Inman Square,Carlotta,587
3367,North Cambridge,Beaumont,340
3368,Porter Square,Mobile Gov Plz,61
3369,N Cambridge,Oakville,379
3370,East Cambridge,Vanderpool,803
3371,E Cambridge,Leando,368
3372,Kendall Square,Hubbard,205
3373,E Somerville,Germantown,439
3374,Somerville,Allen Jct,116
3375,East Somerville,N S T L,140
3376,W Somerville,Tobin,22
3377,West Somerville,Lakewood,216
3378,Winter Hill,Rose,684
3379,Malden,Waddy,788
3380,Everett,Moscow,34
3381,Chelsea,West Hallock,725
3382,Revere,Boxford,192
3383,Revere Beach,Kimper,866
3384,Beachmont,Melbourne Beach,991
3385,Winthrop,Kailua,702
3386,Tufts University,Concord,388
3387,Medford,Cougar,185
3388,Tufts Univ,Dubois,724
3389,West Medford,Viola,593
3390,W Medford,Severna Park,939
3391,Medford,Gables,189
3392,West Medford,Clara,370
3393,W Medford,Longstown,685
3394,Cambridge,Tsail,93
3395,Soldiers Field,URB Mariolga,622
3396,Quincy,Oceanport,899
3397,Houghs Neck,Jemez Pueblo,404
3398,South Quincy,Anthony,76
3399,Quincy Center,Univ Of Nc,885
3400,West Quincy,Sweek Hollow,588
3401,Wollaston,St Elmo,388
3402,Marina Bay,District Hts,634
3403,Norfolk Downs,Detroit,847
3404,Squantum,Gulfport,178
3405,No Quincy,Belle Plaine,365
3406,North Quincy,URB Santa Barbara,857
3407,N Quincy,Randolph,721
3408,Melrose,Vista,716
3409,Stoneham,Siloam Springs,857
3410,Braintree Highlands,URB Palmas Plantation,281
3411,Braintree Hld,Crestline,96
3412,East Braintree,Parkman,794
3413,E Braintree,Sanborn,213
3414,Braintree,Geeslin Corner,240
3415,East Milton,Boomer,131
3416,Milton,Bean Blossom,813
3417,Milton Vlg,Township Of Irvington,262
3418,Milton Village,Kinsley,150
3419,Weymouth Lndg,Accomac,866
3420,Weymouth,Lynnwood,71
3421,East Weymouth,Bear Garden,196
3422,Weymouth,Como,251
3423,South Weymouth,Social Security Admin,402
3424,Weymouth,Belmont,710
3425,Weymouth Nas,Amelia,532
3426,S Weymouth,Wausaukee,882
3427,Weymouth,Naomi,858
3428,N Weymouth,North Olmsted,437
3429,North Weymouth,Nelse,40
3430,Boston City Hall,Menomonie,855
3431,Massachusetts Tax,Great Falls,8
3432,Mass Tax,Vining,423
3433,State Street Corporation,Valle Barahona,226
3434,Bank Of America,Bryson,383
3435,Kenmore,Illinois City,657
3436,Boston University,Richards,449
3437,John Hancock P O Box 505,Clear Creek,417
3438,Boston,N Potomac,757
3439,East Boston,Wateree,960
3440,Harvard Sq,Ward,116
3441,Harvard Square,Perrineville,866
3442,Fleet Bank Boston,Millnerville,395
3443,Boston Financial Data Servic,Gary,926
3444,Fidelity Service Company,Ege,479
3445,John Hancock Mutual Ins,Savonburg,145
3446,Cash Management,Terryville,399
3447,Brockton,Reading,482
3448,Avon,Kleinfeltersv,120
3449,Bridgewater,Sonora,753
3450,Bridgewater State College,Bergoo,919
3451,Bryantville,Arcade,647
3452,Carver,Chita,426
3453,Duxbury,Reform,427
3454,East Bridgewater,Lookout,384
3455,E Bridgewater,Elmira,555
3456,E Bridgewtr,Venetian Islands,182
3457,Easton,Progreso Lakes,237
3458,Elmwood,Cecil,71
3459,Halifax,Swisshome,396
3460,West Hanover,Roberts,459
3461,Hanover,Buena Vista,480
3462,Assinippi,Killawog,99
3463,Wearguard,Al Gas Corp,587
3464,Hanson,Pensacola,638
3465,Holbrook,Hawk Springs,533
3466,Middleboro,West Valley City,235
3467,Aetna Life & Casualty Co,Los Ebanos,146
3468,Middleborough,Hebron,505
3469,Manomet,Carthage,931
3470,Lakeville,Carrollton,949
3471,Talbots,Indian Head,564
3472,Middleboro,Yates,220
3473,Middleborough,Saltillo,699
3474,Ocean Spray,Manchester,508
3475,Monponsett,West Valley City,128
3476,North Abington,Tapoco,471
3477,Abington,Topeka,573
3478,North Carver,Curwensville,508
3479,East Carver,Lama,718
3480,N Easton,Guilderland Center,867
3481,No Easton,Shrewsbury,392
3482,North Easton,Moline Acres,359
3483,Stonehill Col,West Richland,594
3484,Stonehill Coll,Velda Village Hills,111
3485,Stonehill College,String Prairie,584
3486,N Pembroke,Rockland,170
3487,North Pembroke,Mexia,808
3488,Pembroke,Sharon Hill,834
3489,East Pembroke,URB Santa Clara,145
3490,Cedarville,Copper Canyon,586
3491,Plymouth,Vistas De Luquillo,714
3492,Silver Lake,Republicn Grv,221
3493,Rocky Nook,Huston,587
3494,Kingston,Valeria,644
3495,South Carver,Hamilton,425
3496,Plympton,Lake Village,648
3497,Randolph,Us Purchasing Exchange,624
3498,Rockland,Camp Union,763
3499,So Easton,Chickaloon,379
3500,S Easton,Alma Lake,912
3501,South Easton,Pls Vrds Pnsl,141
3502,West Bridgewater,East Hardwick,448
3503,W Bridgewater,West Rupert,851
3504,Wht Horse Bch,Aroma,265
3505,White Horse Beach,Emory,565
3506,Whitman,Boynton,726
3507,Lexington,Delco,62
3508,Brookline,Donaldsonville,877
3509,Brookline Village,Sumner,606
3510,Brookline Vlg,Fort Myers Beach,22
3511,Brookline,Box Springs,327
3512,Waltham,Barry,178
3513,North Waltham,Mullally,434
3514,South Waltham,Crowder,519
3515,North Waltham,West Unity,610
3516,Waltham,Cerro Gordo,309
3517,New Town,Pollock,659
3518,Newton,Curtis,198
3519,Wellesley,Holyoke,266
3520,Babson Park,Dansville,234
3521,Newtonville,Kirkland,714
3522,Riverside,Univ Of Sc Students Mail,778
3523,Newton,Wonewoc,658
3524,Newton Center,Avondale-Goodyear,553
3525,Newton Ctr,Mans Monte Verde,902
3526,Newton,Yorktown Naval Weapons Stati,851
3527,Newton Centre,Southwest Oswego,205
3528,Newton Cntr,Natrona,139
3529,Newtonville,Proctor,422
3530,Newton,Western Hills,23
3531,Newton,Govert,397
3532,Newton Hlds,Ursa,443
3533,Newton Highlands,Rancho Suey,260
3534,Newton,Marshes Sdng,546
3535,Newtonville,Villas De Prado Alto,499
3536,Newton Lower Falls,Zanesville,963
3537,Newton L F,Lynwood,110
3538,Newton,West Chesterfield,1000
3539,Newton Upper Falls,Malone,129
3540,Newton U F,Nicor Gas,63
3541,W Newton,Boyd,865
3542,West Newton,Curlew,426
3543,Newton,Highland Park,195
3544,Auburndale,Hadar,626
3545,Newton,Shedd,507
3546,Chestnut Hill,Lockney,794
3547,Brookline,Shanesville,129
3548,Boston College,Bailey,197
3549,Newton,Foster Pond,225
3550,Boston Clg,Everson,830
3551,Newton,Annandale On Hudson,999
3552,Waban,Fairlea,918
3553,Watertown Financial,Argyle,423
3554,Watertown,Dewitt,604
3555,East Watertown,Benton,110
3556,E Watertown,Hassanamisco Indian Reservat,976
3557,Arlington,Guayanilla,893
3558,East Arlington,City Of Lubbock,239
3559,E Arlington,URB Flor Del Valle,191
3560,Arlington Heights,Midland Pk,100
3561,Arlington Hts,Preston,806
3562,Arlington,Cedar Springs,514
3563,Field Premium Inc,Sweet Grass,88
3564,Belmont,Marquette Farm,48
3565,Belmont,East Lynne,923
3566,Waverley,Albrightsville,593
3567,Wellesley,Jard De Borinquen,141
3568,Wellesley Hls,Sparkill,353
3569,Wellesley Fms,Whiteriver,172
3570,Wellesley Hills,Rock Creek,610
3571,Wellesley,Colfax,682
3572,Needham Jct,Dover Twp,84
3573,Needham,Lake Los Angeles,59
3574,Weston,Bedford Hts,854
3575,Kendal Green,Whiteoak,187
3576,Cherry Brook,Finlayson,286
3577,Silver Hill,Garfield,244
3578,Hastings,St Johns,611
3579,Stony Brook,Pattison,422
3580,Needham,Damascus,588
3581,Needham Heights,Mertens,834
3582,Needham Hgts,Bay View,965
3583,Newton,Albrightsvlle,231
3584,Nonantum,Nonantum,919
3585,Buzzards Bay,Craddockville,346
3586,Bourne,Coolin,194
3587,Cataumet,Auburn,415
3588,Chilmark,N Washington,233
3589,Gay Head,Whitleyville,649
3590,Aquinnah,Absecon City,286
3591,E Falmouth,Ideal Beach,454
3592,Hatchville,Latanier,511
3593,Waquoit,Brussels,865
3594,Teaticket,Chevy Chs Vlg,651
3595,East Falmouth,URB Portal De Los Pinos,464
3596,Ea Falmouth,Gordonsville,41
3597,E Sandwich,Big Clifty,376
3598,East Sandwich,Lick Mountain,239
3599,East Wareham,Conway,39
3600,E Wareham,Banner,180
3601,Edgartown,Crestwood,782
3602,Chappaquiddick Island,Thistle,769
3603,Falmouth,Lorenzo,573
3604,Otis A F B,Lago,590
3605,Otis Ang,Vanzant,661
3606,Otis Air National Guard,Valentine,470
3607,Otis Angb,New Berlin,451
3608,Woodshole,Mt Morris,1000
3609,Falmouth,Davenport Center,750
3610,Woods Hole,Fayfield,467
3611,Menemsha,Cattown,611
3612,Monument Bch,Starrhs Ferry,787
3613,Monument Beach,Jax Naval Hos,807
3614,Nantucket,URB Las Colinas,217
3615,N Falmouth,Jarrell,672
3616,North Falmouth,Simms,623
3617,Oak Bluffs,Bents Old Fort,839
3618,Onset,Crandalls Lodge,181
3619,Pocasset,Nipomo,528
3620,Bourne,Ballarat,354
3621,Sagamore,Cold Water,632
3622,Sagamore Bch,Eva,100
3623,Sagamore Beach,Frederick,911
3624,Sandwich,Kinard,198
3625,Nantucket,Van,47
3626,Sconset,Enfield,248
3627,Siasconset,Zamora,620
3628,N Falmouth,Herington,24
3629,Silver Beach,Geneva,949
3630,North Falmouth,Starrhs Ferry,957
3631,Vineyard Hvn,Guffey,432
3632,Vineyard Haven,Lynnwood,571
3633,Tisbury,Philmont,118
3634,North Tisbury,Marstons Mills,946
3635,Wareham,URB Los Almendros,351
3636,Tisbury,Hansen,752
3637,Vineyard Hvn,Snoqualmie,953
3638,Vineyard Haven,Parksville,801
3639,West Chop,Geneva,479
3640,West Falmouth,Fredonia,707
3641,W Falmouth,Anza,294
3642,Tisbury,Mcmillan,264
3643,West Tisbury,Blue Ridge,312
3644,West Wareham,Barnstead,862
3645,W Wareham,Union,275
3646,Hyannis,Oden,131
3647,Barnstable,Kinard,925
3648,Brewster,Norwich,311
3649,Centerville,Antelope,210
3650,Chatham,Salipta,107
3651,Cotuit,Craters Of The Moon National,960
3652,Cummaquid,Kimbolton,742
3653,Dennis,Teec Nos Pos,685
3654,Dennisport,Frytown,617
3655,Dennis Port,Armbrust,244
3656,E Dennis,Mcelhattan,129
3657,East Dennis,Newburgh,738
3658,Eastham,Jmst,631
3659,East Orleans,Frederic,913
3660,Forestdale,Marion,759
3661,East Harwich,Woodfin,926
3662,Hardwich,Oak Brk Mall,952
3663,Harwich,Dumas,374
3664,E Harwich,Springvale,788
3665,Harwich Port,Platter,199
3666,Harwichport,Hugheston,198
3667,Hyannis Port,Beatty,992
3668,Marstons Mills,Tribbey,49
3669,Marstons Mls,Jackson Hts,358
3670,New Seabury,New Alexander,96
3671,South Mashpee,Cotile,695
3672,Mashpee,Sandlick,75
3673,N Chatham,Mt Sunapee,329
3674,North Chatham,Wintergreen,530
3675,North Eastham,Westfall,944
3676,North Truro,N Washington,939
3677,Orleans,Northfield,394
3678,Osterville,Mulberry,936
3679,Provincetown,Oroville,740
3680,South Chatham,Childs,881
3681,South Dennis,Palisades Park,415
3682,S Dennis,Mountainburg,456
3683,South Harwich,Natl Institute Stds & Tech,219
3684,South Orleans,Greendell,387
3685,South Wellfleet,Kansas University Med Center,483
3686,S Wellfleet,Villa Forestal,405
3687,South Yarmouth,Polonia,7
3688,So Yarmouth,La Vista,534
3689,S Yarmouth,Newman Lake,568
3690,Bass River,Farmersburg,157
3691,Truro,Deer Park,662
3692,Wellfleet,Big Cove Tannery,492
3693,W Barnstable,Northwood,828
3694,West Barnstable,Wallace Ridge,276
3695,W Barnstble,Woodland Hills,960
3696,West Chatham,Hisle,458
3697,W Dennis,Cairo,41
3698,West Dennis,Austin Peay St Univ,526
3699,West Harwich,Centerville,675
3700,W Hyannisprt,New Verda,308
3701,West Hyannisport,Sugar Creek,625
3702,W Yarmouth,Helix,387
3703,West Yarmouth,Dry Valley,94
3704,Yarmouthport,San Mateo,475
3705,Yarmouth Port,Manson,816
3706,Assonet,Bonesteel,744
3707,S Attleboro,Bentonville,456
3708,Attleboro,Phillipsport,766
3709,South Attleboro,Palmyra,890
3710,Chartley,Carney,997
3711,Cuttyhunk,Edgewater Prk,597
3712,Dartmouth,Willow Springs,133
3713,Dighton,Otis,283
3714,East Freetown,Pigeon Forge,110
3715,East Taunton,Port Heiden,755
3716,Fairhaven,Voca,657
3717,Fall River,Hillsgrove,256
3718,Somerset,N Richmond,258
3719,Marion,Cedarvale,848
3720,Mattapoisett,Clarkdale,763
3721,New Bedford,Kenockee Township,126
3722,New Bedford,Rocky Face,174
3723,Acushnet,Cornwallville,566
3724,Acushnet,Belmont,12
3725,North Dartmouth,Chrysler Corp Toledo Assy,884
3726,Dartmouth,Rentz,881
3727,N Dartmouth,Oakalla,58
3728,Dartmouth,Fruitland Pk,858
3729,Padanaram The Packet,Cal Tech,74
3730,South Dartmouth,Joseph City,332
3731,S Dartmouth,Squirrel Hill,543
3732,Nonquitt,Simpson,688
3733,No Attleboro,Exeter,924
3734,N Attleboro,Morgans Point Resort,173
3735,North Attleboro,Pittsfield,798
3736,Plainville,Snow Hill,771
3737,N Attleboro,Medford,69
3738,Attleboro Fls,Orono,650
3739,North Attleboro,Garner,987
3740,N Attleboro,Mc Donough,313
3741,Attleboro Falls,National Grid,155
3742,N Dighton,Killbuck,253
3743,North Dighton,Xerox,876
3744,Norton,Grand Rapids,821
3745,Raynham,Herrville,843
3746,Raynham Ctr,Dennison,474
3747,Raynham Center,URB Promised Land,593
3748,Rehoboth,Howells,988
3749,Rochester,Mystic,271
3750,Seekonk,Mt Holly,466
3751,Swansea,Santa Rsa Bch,546
3752,Berkley,Garden City,335
3753,Taunton,Sully,440
3754,Chadwicks,Aylmer,809
3755,Horseneck Beach,Garrett,22
3756,Westport,Roundup,95
3757,Westport Pt,Mazama,993
3758,Westport Point,Weil,511
3759,Adamsville,Chehalis,158
3760,Albion,Timpas,31
3761,Ashaway,Juana Diaz,945
3762,Barrington,Norwich,385
3763,New Shoreham,E New Market,451
3764,Block Island,Alum Ridge,510
3765,Bradford,Grant Township,19
3766,Bristol,Port Ewen,257
3767,Carolina,Layton,431
3768,Richmond,Upper Grandview,167
3769,Charlestown,Spencertown,717
3770,Glocester,Weogufka,346
3771,Chepachet,Raymond,952
3772,Scituate,Edwardsville,452
3773,Clayville,North Miami Beach,61
3774,Coventry,Pekin,658
3775,W Greenwich,Westbury,933
3776,West Greenwich,Moscow,193
3777,East Greenwich,Frogmore,844
3778,E Greenwich,Saint Maries,685
3779,Exeter,Kelseyville,168
3780,Escoheag,New Orleans Naval Air,810
